Date,Barangay,DayOfWeek,Month,IsWeekend,Population,Total_Waste_kg
2024-01-01,Anibongan,0,1,0,1264,181.86
2024-01-01,Banahao,0,1,0,2617,394.2
2024-01-01,Ban-as,0,1,0,1758,252.12
2024-01-01,Baucawe,0,1,0,1497,226.76
2024-01-01,Diatagon,0,1,0,7553,1113.74
2024-01-01,Ganayon,0,1,0,1258,194.31
2024-01-01,Liatimco,0,1,0,2083,326.31
2024-01-01,Manyayay,0,1,0,2549,368.95
2024-01-01,Payasan,0,1,0,2624,404.24
2024-01-01,Poblacion,0,1,0,4603,746.49
2024-01-01,Saint Christine,0,1,0,3062,477.38
2024-01-01,San Pedro,0,1,0,1466,230.57
2024-01-01,San Isidro,0,1,0,1215,179.82
2024-01-02,Anibongan,1,1,0,1264,187.14
2024-01-02,Banahao,1,1,0,2617,423.56
2024-01-02,Ban-as,1,1,0,1758,269.32
2024-01-02,Baucawe,1,1,0,1497,220.8
2024-01-02,Diatagon,1,1,0,7553,1143.88
2024-01-02,Ganayon,1,1,0,1258,179.8
2024-01-02,Liatimco,1,1,0,2083,322.63
2024-01-02,Manyayay,1,1,0,2549,417.48
2024-01-02,Payasan,1,1,0,2624,399.35
2024-01-02,Poblacion,1,1,0,4602,726.74
2024-01-02,Saint Christine,1,1,0,3062,462.61
2024-01-02,San Pedro,1,1,0,1466,229.04
2024-01-02,San Isidro,1,1,0,1215,186.47
2024-01-03,Anibongan,2,1,0,1264,198.7
2024-01-03,Banahao,2,1,0,2617,413.85
2024-01-03,Ban-as,2,1,0,1758,286.76
2024-01-03,Baucawe,2,1,0,1497,244.96
2024-01-03,Diatagon,2,1,0,7553,1195.57
2024-01-03,Ganayon,2,1,0,1258,182.43
2024-01-03,Liatimco,2,1,0,2083,303.0
2024-01-03,Manyayay,2,1,0,2549,400.65
2024-01-03,Payasan,2,1,0,2624,427.2
2024-01-03,Poblacion,2,1,0,4602,667.79
2024-01-03,Saint Christine,2,1,0,3062,470.39
2024-01-03,San Pedro,2,1,0,1466,226.44
2024-01-03,San Isidro,2,1,0,1215,197.96
2024-01-04,Anibongan,3,1,0,1264,198.83
2024-01-04,Banahao,3,1,0,2617,406.12
2024-01-04,Ban-as,3,1,0,1758,277.36
2024-01-04,Baucawe,3,1,0,1497,235.66
2024-01-04,Diatagon,3,1,0,7553,1125.1
2024-01-04,Ganayon,3,1,0,1258,192.12
2024-01-04,Liatimco,3,1,0,2082,325.53
2024-01-04,Manyayay,3,1,0,2549,404.11
2024-01-04,Payasan,3,1,0,2624,396.51
2024-01-04,Poblacion,3,1,0,4602,715.87
2024-01-04,Saint Christine,3,1,0,3061,501.97
2024-01-04,San Pedro,3,1,0,1466,227.02
2024-01-04,San Isidro,3,1,0,1215,175.82
2024-01-05,Anibongan,4,1,0,1264,200.78
2024-01-05,Banahao,4,1,0,2617,392.2
2024-01-05,Ban-as,4,1,0,1758,264.5
2024-01-05,Baucawe,4,1,0,1497,223.94
2024-01-05,Diatagon,4,1,0,7553,1176.06
2024-01-05,Ganayon,4,1,0,1258,203.59
2024-01-05,Liatimco,4,1,0,2082,335.37
2024-01-05,Manyayay,4,1,0,2548,376.55
2024-01-05,Payasan,4,1,0,2624,418.68
2024-01-05,Poblacion,4,1,0,4602,723.29
2024-01-05,Saint Christine,4,1,0,3061,459.31
2024-01-05,San Pedro,4,1,0,1466,239.72
2024-01-05,San Isidro,4,1,0,1215,174.18
2024-01-06,Anibongan,5,1,1,1264,196.06
2024-01-06,Banahao,5,1,1,2617,448.18
2024-01-06,Ban-as,5,1,1,1758,296.56
2024-01-06,Baucawe,5,1,1,1497,239.46
2024-01-06,Diatagon,5,1,1,7552,1328.96
2024-01-06,Ganayon,5,1,1,1258,220.86
2024-01-06,Liatimco,5,1,1,2082,329.93
2024-01-06,Manyayay,5,1,1,2548,407.35
2024-01-06,Payasan,5,1,1,2624,455.91
2024-01-06,Poblacion,5,1,1,4602,807.2
2024-01-06,Saint Christine,5,1,1,3061,497.48
2024-01-06,San Pedro,5,1,1,1466,233.39
2024-01-06,San Isidro,5,1,1,1215,214.17
2024-01-07,Anibongan,6,1,1,1264,197.97
2024-01-07,Banahao,6,1,1,2617,416.52
2024-01-07,Ban-as,6,1,1,1758,309.0
2024-01-07,Baucawe,6,1,1,1497,234.53
2024-01-07,Diatagon,6,1,1,7552,1255.06
2024-01-07,Ganayon,6,1,1,1258,222.24
2024-01-07,Liatimco,6,1,1,2082,352.53
2024-01-07,Manyayay,6,1,1,2548,445.48
